Date,realized_vol,rv_lag1,rv_lag5,rv_lag20,rv_change1,rv_change5,ret_lag1,ret_lag5,abs_ret,abs_ret_mean5,abs_ret_mean20,vol_of_vol_20,vol_of_vol_60,drawdown_60,ma_ratio_20_60,y,y_log
2015-11-24,0.1273315908984824,0.1276302535679315,0.1366382302005472,0.1346285375503233,-0.0002986626694491,-0.0093066393020647,-0.0011470436317333,-0.0007293839020965,0.001338248320482,0.0045454096280193,0.0057469333032547,0.0085532320996484,0.0744321462639053,-0.0078199185357201,0.0355531234312311,0.1232088752894449,-2.0938741907903986
2015-11-25,0.1209581797529394,0.1273315908984824,0.1441751277572988,0.1270686265866815,-0.0063734111455429,-0.0232169480043593,0.001338248320482,0.0157413288951087,0.0001430972617395,0.0014257633013455,0.005188578775839,0.0085654958138263,0.0739648238615384,-0.0079618866306653,0.0340562842130849,0.1320668842853753,-2.024446785592793
2015-11-27,0.1209872846424155,0.1209581797529394,0.1328579780816278,0.1281365655668556,2.9104889476092025e-05,-0.0118706934392123,-0.0001430972617395,-0.000862919362258,0.0011456743447348,0.0014823142978409,0.0052171430503684,0.0085411409551707,0.0731235754287488,-0.0068246827068869,0.0329417736965396,0.150726109630705,-1.8922909326785171
2015-11-30,0.1209102646491174,0.1209872846424155,0.1279396045024707,0.1249957248007003,-7.701999329809417e-05,-0.0070293398533532,0.0011456743447348,0.0036375079305148,0.0041602297818119,0.0015868586681003,0.0052092073361074,0.0085606154263838,0.0721488932168751,-0.0109479374499217,0.0319234286100986,0.1522020667473311,-1.882546254492141
2015-12-01,0.1182658956859964,0.1209102646491174,0.1276302535679315,0.1175151248471211,-0.002644368963121,-0.0093643578819351,-0.0041602297818119,-0.0011470436317333,0.0094903114448561,0.0032555122307249,0.0050956647849041,0.0085340167127029,0.0709863047869704,-0.0015168441196325,0.0303720395984272,0.1504201213668057,-1.8943230907313555
2015-12-02,0.1232088752894449,0.1182658956859964,0.1273315908984824,0.1151029961100385,0.0049429796034485,-0.0041227156090375,0.0094903114448561,0.001338248320482,0.0102572490254821,0.0050393123717249,0.0054637532944637,0.0082952405285695,0.0692202463143433,-0.0117061878433595,0.0287337751392458,0.1523940612987603,-1.8812856043447614
2015-12-03,0.1320668842853753,0.1232088752894449,0.1209581797529394,0.1156090055605768,0.0088580089959304,0.0111087045324358,-0.0102572490254821,-0.0001430972617395,0.0141018568441211,0.0078310642882012,0.0060169570050114,0.0082279670437912,0.0670877845769639,-0.0255451587720875,0.0265610120486852,0.1523568681366231,-1.8815296932628214
2015-12-04,0.150726109630705,0.1320668842853753,0.1209872846424155,0.1137958188147502,0.0186592253453297,0.0297388249882895,-0.0141018568441211,0.0011456743447348,0.0193153026198427,0.0114649899432228,0.0069327710923094,0.0096312127791238,0.0645274871218418,-0.0065403173510504,0.0251837715156284,0.159955014352579,-1.8328626635776577
2015-12-07,0.1522020667473311,0.150726109630705,0.1209102646491174,0.114070816125948,0.001475957116626,0.0312918020982137,0.0193153026198427,-0.0041602297818119,0.0060766717074729,0.011848278328355,0.0072104420883639,0.0107059782607617,0.0616768479304897,-0.0125589405781122,0.023705370296859,0.1561081246031803,-1.8572064053892883
2015-12-08,0.1504201213668057,0.1522020667473311,0.1182658956859964,0.1211410473027599,-0.0017819453805254,0.0321542256808092,-0.0060766717074729,0.0094903114448561,0.006742406370777,0.0112986973135392,0.0070787927640479,0.0115912337724557,0.0586015567170026,-0.0191942752696128,0.0224242197145145,0.1509690590488426,-1.8906803701248196
